fecha,sku,cantidad
2013-06-05,I00763,0
2013-06-05,I01703,0
2013-06-05,C00596,0
2013-06-05,C00595,0
2013-06-05,C00697,0
2013-06-05,C00694,0
2013-06-05,C00695,0
2013-06-05,C00756,0
2013-06-05,C00757,0
2013-06-05,I01512,0
2013-06-05,I01497,0
2013-06-05,I01507,0
2013-06-05,I01934,0
2013-06-05,I01968,0
2013-06-05,I00724,0
2013-06-05,I01935,0
2013-06-05,I01692,0
2013-06-05,I01691,0
2013-06-05,I01973,0
2013-06-05,I01838,0
2013-06-05,C00477,0
2013-06-05,C00216,0
2013-06-05,I01681,0
2013-06-05,I00931,0
2013-06-05,I00930,0
2013-06-05,I00963,0
2013-06-05,I01867,0
2013-06-05,C00399,0
2013-06-05,I01169,0
2013-06-05,I01329,0
2013-06-05,T00142,0
2013-06-05,C00375,0
2013-06-05,C00428,0
2013-06-05,C00687,0
2013-06-05,C00204,0
2013-06-05,C00679,0
2013-06-05,C00678,0
2013-06-05,I01578,0
2013-06-05,I01810,0
2013-06-06,I00763,0
2013-06-06,I01703,0
2013-06-06,C00596,0
2013-06-06,C00595,0
2013-06-06,C00697,0
2013-06-06,C00694,0
2013-06-06,C00695,0
2013-06-06,C00756,0
2013-06-06,C00757,0
2013-06-06,I01512,0
2013-06-06,I01497,0
2013-06-06,I01507,0
2013-06-06,I01934,0
2013-06-06,I01968,0
2013-06-06,I00724,0
2013-06-06,I01935,0
2013-06-06,I01692,0
2013-06-06,I01691,0
2013-06-06,I01973,0
2013-06-06,I01838,0
2013-06-06,C00477,0
2013-06-06,C00216,0
2013-06-06,I01681,0
2013-06-06,I00931,0
2013-06-06,I00930,0
2013-06-06,I00963,0
2013-06-06,I01867,0
2013-06-06,C00399,0
2013-06-06,I01169,0
2013-06-06,I01329,0
2013-06-06,T00142,0
2013-06-06,C00375,0
2013-06-06,C00428,0
2013-06-06,C00687,0
2013-06-06,C00204,0
2013-06-06,C00679,0
2013-06-06,C00678,0
2013-06-06,I01578,0
2013-06-06,I01810,0
2013-06-07,I00763,0
2013-06-07,I01703,0
2013-06-07,C00596,0
2013-06-07,C00595,0
2013-06-07,C00697,0
2013-06-07,C00694,0
2013-06-07,C00695,0
2013-06-07,C00756,0
2013-06-07,C00757,0
2013-06-07,I01512,0
2013-06-07,I01497,0
2013-06-07,I01507,0
2013-06-07,I01934,0
2013-06-07,I01968,0
2013-06-07,I00724,0
2013-06-07,I01935,0
2013-06-07,I01692,0
2013-06-07,I01691,0
2013-06-07,I01973,0
2013-06-07,I01838,0
2013-06-07,C00477,0
2013-06-07,C00216,0
2013-06-07,I01681,0
2013-06-07,I00931,0
2013-06-07,I00930,0
2013-06-07,I00963,0
2013-06-07,I01867,0
2013-06-07,C00399,0
2013-06-07,I01169,0
2013-06-07,I01329,0
2013-06-07,T00142,0
2013-06-07,C00375,0
2013-06-07,C00428,0
2013-06-07,C00687,0
2013-06-07,C00204,0
2013-06-07,C00679,0
2013-06-07,C00678,0
2013-06-07,I01578,0
2013-06-07,I01810,0
2013-06-08,I00763,0
